Question ;answer ;
"
Hva regnes som reisetid i forbindelse med arbeid, og hva regnes ikke som reisetid?";"Reisetid i forbindelse med arbeid inkluderer tiden brukt på å reise mellom arbeidssted/bosted og forretningssted, inkludert nødvendig ventetid underveis. Tiden tilbrakt på hotell o.l. regnes ikke som reisetid.Les mer om reisetid i
Statens personalhåndbok kapittel 7.3.8";
"
Hva er kjernetiden og den ytre arbeidstiden i Husbanken?";Kjernetiden i Husbanken er kl. 09.00 til 14.30 hele året, og den ytre arbeidstiden er fra kl. 0600 til kl. 0900 og fra kl. 1430 til kl. 2100 mandag til fredag hele året. Etter avtale med leder, kan ansatte arbeide fleksitid også på lørdager med inntil 5 timer mellom kl. 0700 og kl. 1800. se Staten personalhåndbok 10.8.2.2;
"
Hvor mange plusstimer kan ansatte avspasere per kalenderår?";Ansatte kan avspasere inntil 180 timer per kalenderår. Eventuelle pluss- og minustimer blir automatisk overført til neste år, men det er begrensninger på hvor mange plusstimer og minustimer som kan overføres.;
"
Hvordan skal ansatte registrere arbeidstid og fravær ?";Ansatte må registrere arbeidstid og fravær i DFØ-appen eller SAP selvbetjeningsportalen for å unngå potensielle lønnstrekk ved årets slutt.;
Hvor mange timer jobber ansatte vanligvis per dag i Husbanken?;"Det er arbeidstidsbestemmelsene i arbeidsmiljølovens kap. 10, hovedtariffavtalene
hovedavtalenNormalarbeidstiden i Husbanken varierer mellom sommer og vinter. Fra 15. mai til 14. september er arbeidstiden kl. 08.00-15.00, mens fra 15. september til 14. mai er arbeidstiden kl. 08.00-15.45";
Kan du gi informasjon om den gjennomsnittlige arbeidstiden i Husbanken, og er det sesongmessige variasjoner?;"Det er arbeidstidsbestemmelsene i arbeidsmiljølovens kap. 10, hovedtariffavtalene
hovedavtalenNormalarbeidstiden i Husbanken varierer mellom sommer og vinter. Fra 15. mai til 14. september er arbeidstiden kl. 08.00-15.00, mens fra 15. september til 14. mai er arbeidstiden kl. 08.00-15.45";
Hvordan er den ordinære arbeidstiden i Husbanken , og er det endringer i arbeidstidene sine i løpet av året?;"Det er arbeidstidsbestemmelsene i arbeidsmiljølovens kap. 10, hovedtariffavtalene
hovedavtalenNormalarbeidstiden i Husbanken varierer mellom sommer og vinter. Fra 15. mai til 14. september er arbeidstiden kl. 08.00-15.00, mens fra 15. september til 14. mai er arbeidstiden kl. 08.00-15.45";
Hvordan er fridagene organisert for ansatte i Husbanken?;Ansatte i Husbanken har fri på følgende høytidsdager: Nyttårsdag (1. januar), skjærtorsdag, langfredag, påskeaften, 1. og 2. påskedag, 1. mai, 17. mai, kristi himmelfartsdag, 1. og 2. pinsedag, 1. og 2. juledag (25. og 26. desember). I tillegg har de fri jul- eller nyttårsaften og én valgfri arbeidsdag i romjulen;
Hvordan er fridagene organisert for ansatte i Husbanken?;Ansatte i Husbanken har fri på følgende høytidsdager: Nyttårsdag (1. januar), skjærtorsdag, langfredag, påskeaften, 1. og 2. påskedag, 1. mai, 17. mai, kristi himmelfartsdag, 1. og 2. pinsedag, 1. og 2. juledag (25. og 26. desember). I tillegg har de fri jul- eller nyttårsaften og én valgfri arbeidsdag i romjulen;
Hvordan er fridagene organisert for ansatte i Husbanken?;Ansatte i Husbanken har fri på følgende høytidsdager: Nyttårsdag (1. januar), skjærtorsdag, langfredag, påskeaften, 1. og 2. påskedag, 1. mai, 17. mai, kristi himmelfartsdag, 1. og 2. pinsedag, 1. og 2. juledag (25. og 26. desember). I tillegg har de fri jul- eller nyttårsaften og én valgfri arbeidsdag i romjulen;
